filename,label,local_channels,remote_channels,null_fields,null_fields_excl_host_snr
1009.json,local,4,4,1,0
101.json,local,4,4,1,0
1019.json,fiber,4,4,0,0
1030.json,local,4,4,0,0
1040.json,remote,4,4,0,0
1056.json,local,4,4,1,0
1058.json,remote,4,4,1,0
108.json,local,4,4,1,0
1109.json,local,4,4,1,0
1112.json,remote,4,4,2,1
1140.json,local,4,4,1,0
116.json,remote,4,4,0,0
1175.json,local,4,4,1,0
1177.json,local,4,4,1,0
1193.json,local,4,4,0,0
120.json,remote,4,4,0,0
123.json,local,4,4,0,0
1252.json,remote,4,4,1,0
127.json,remote,4,4,0,0
128.json,local,4,4,0,0
1320.json,local,4,4,1,0
1324.json,local,4,4,0,0
1339.json,fiber,4,4,0,0
138.json,local,4,4,0,0
141.json,local,4,4,0,0
142.json,remote,4,4,0,0
145.json,local,4,4,1,0
147.json,local,4,4,1,0
1554.json,local,4,4,1,0
1555.json,local,4,4,1,0
156.json,remote,4,4,0,0
1572.json,local,4,4,0,0
1594.json,local,4,4,1,0
1605.json,remote,4,4,1,0
1653.json,local,4,4,1,0
1664.json,local,4,4,0,0
1674.json,local,4,4,1,0
1782.json,local,4,4,1,0
1788.json,remote,4,4,1,0
1796.json,remote,4,4,1,0
1798.json,remote,4,4,1,0
1807.json,fiber,4,4,0,0
1811.json,local,4,4,1,0
1823.json,local,4,4,1,0
1839.json,remote,4,4,0,0
1841.json,local,4,4,0,0
1852.json,local,4,4,1,0
1889.json,local,4,4,1,0
1909.json,local,4,4,0,0
1956.json,local,4,4,0,0
1965.json,fiber,4,4,0,0
1973.json,local,4,4,1,0
2038.json,fiber,4,4,1,0
2053.json,local,4,4,1,0
2068.json,remote,4,4,1,0
2085.json,local,4,4,0,0
2086.json,local,4,4,1,0
2125.json,local,4,4,1,0
2128.json,local,4,4,0,0
2172.json,remote,4,4,1,0
2179.json,local,4,4,1,0
2195.json,remote,4,4,1,0
2263.json,local,4,4,1,0
229.json,local,4,4,0,0
2295.json,remote,4,4,0,0
2317.json,local,4,4,1,0
2322.json,remote,4,4,0,0
2333.json,fiber,4,4,0,0
2338.json,remote,4,4,1,0
2349.json,local,4,4,1,0
2355.json,local,4,4,1,0
2357.json,local,4,4,1,0
2360.json,local,4,4,1,0
2404.json,remote,4,4,1,0
2408.json,local,4,4,0,0
2415.json,local,4,4,0,0
242.json,local,4,4,0,0
2426.json,local,4,4,1,0
2453.json,remote,4,4,1,0
2479.json,remote,4,4,1,0
2522.json,remote,4,4,1,0
2558.json,local,4,4,0,0
2577.json,local,4,4,1,0
2594.json,local,4,4,1,0
2607.json,local,4,4,1,0
2615.json,local,4,4,1,0
263.json,local,4,4,1,0
2638.json,local,4,4,1,0
2640.json,local,4,4,1,0
2646.json,local,4,4,0,0
2648.json,remote,4,4,1,0
2666.json,remote,4,4,0,0
2676.json,local,4,4,0,0
2701.json,local,4,4,0,0
2704.json,remote,4,4,1,0
2713.json,local,4,4,1,0
2718.json,remote,4,4,0,0
2722.json,local,4,4,1,0
273.json,local,4,4,1,0
2739.json,remote,4,4,0,0
2746.json,fiber,4,4,1,0
2749.json,local,4,4,1,0
2753.json,remote,4,4,1,0
2758.json,fiber,4,4,1,0
2759.json,remote,4,4,0,0
